Model,Loss,AUC,AUPRC,AP@50,Comment
DeepChem/ChemBERTa-77M-MLM,0.055536117404699326,0.8522436618804932,0.311146080493927,0.6348322667281546,
DeepChem/ChemBERTa-77M-MLM,0.055889274924993515,0.8502064347267151,0.30644887685775757,0.629015050211793,
DeepChem/ChemBERTa-77M-MLM,0.05565151199698448,0.8502908945083618,0.3057914674282074,0.6251070204149486,
DeepChem/ChemBERTa-77M-MLM,0.055448196828365326,0.8528939485549927,0.3109346032142639,0.630996930664073,
DeepChem/ChemBERTa-77M-MLM,0.05515963211655617,0.8549929261207581,0.3165840208530426,0.6374982260797711,
DeepChem/ChemBERTa-77M-MLM,0.055334072560071945,0.8535576462745667,0.31467586755752563,0.6397528987310911,
DeepChem/ChemBERTa-77M-MLM,0.05531831458210945,0.8543450236320496,0.31535041332244873,0.6457213447289188,
DeepChem/ChemBERTa-77M-MLM,0.055444344878196716,0.8528022170066833,0.31128886342048645,0.6366433539997928,
DeepChem/ChemBERTa-77M-MLM,0.055495601147413254,0.8533163070678711,0.31167489290237427,0.6337214214721361,
DeepChem/ChemBERTa-77M-MLM,0.05509372800588608,0.8555299639701843,0.31762784719467163,0.6391140244470818,
DeepChem/ChemBERTa-77M-MLM,0.05369000881910324,0.8692283034324646,0.34749335050582886,0.6832031025105596,
DeepChem/ChemBERTa-77M-MLM,0.05371364206075668,0.8690962791442871,0.34838077425956726,0.6894263847330593,
DeepChem/ChemBERTa-77M-MLM,0.05391857773065567,0.8684873580932617,0.3443472981452942,0.6821384173503221,
DeepChem/ChemBERTa-77M-MLM,0.0538480244576931,0.8677276372909546,0.3425106406211853,0.6793169272495317,
DeepChem/ChemBERTa-77M-MLM,0.05386047065258026,0.8685675263404846,0.3425943851470947,0.6672821998722337,
DeepChem/ChemBERTa-77M-MLM,0.05381086468696594,0.8685040473937988,0.34591659903526306,0.6857064720148033,
DeepChem/ChemBERTa-77M-MLM,0.05392967164516449,0.8682076930999756,0.3425448536872864,0.6752894042295443,
DeepChem/ChemBERTa-77M-MLM,0.05359676852822304,0.8700518012046814,0.35055533051490784,0.688009658832006,
DeepChem/ChemBERTa-77M-MLM,0.05399560183286667,0.8670234084129333,0.3419700562953949,0.6766744531692932,
DeepChem/ChemBERTa-77M-MLM,0.0539117157459259,0.8680423498153687,0.34496814012527466,0.6802452312715825,
